image_name,valence,arousal
001_00000.png,0.0,5.0
001_00001.png,0.0,5.0
001_00002.png,0.0,5.0
001_00003.png,0.0,5.0
001_00004.png,0.0,5.0
001_00005.png,0.0,5.0
001_00006.png,0.0,5.0
001_00007.png,0.0,5.0
001_00008.png,0.0,5.0
001_00009.png,0.0,5.0
001_00010.png,0.0,5.0
001_00011.png,0.0,5.0
001_00012.png,0.0,5.0
001_00013.png,0.0,5.0
001_00014.png,0.0,5.0
001_00015.png,0.0,5.0
001_00016.png,0.0,5.0
001_00017.png,0.0,5.0
001_00018.png,0.0,5.0
001_00019.png,0.0,5.0
001_00020.png,0.0,5.0
001_00021.png,0.0,5.0
001_00022.png,0.0,5.0
001_00023.png,0.0,5.0
001_00024.png,0.0,5.0
001_00025.png,0.0,5.0
001_00026.png,0.0,5.0
001_00027.png,0.0,5.0
001_00028.png,0.0,5.0
001_00029.png,0.0,5.0
001_00030.png,0.0,5.0
001_00031.png,0.0,5.0
001_00032.png,0.0,5.0
001_00033.png,0.0,5.0
001_00034.png,0.0,5.0
001_00035.png,0.0,5.0
001_00036.png,0.0,5.0
001_00037.png,0.0,5.0
001_00038.png,0.0,5.0
001_00039.png,0.0,5.0
001_00040.png,0.0,5.0
001_00041.png,0.0,5.0
002_00000.png,2.0,3.0
002_00001.png,2.0,3.0
002_00002.png,2.0,3.0
002_00003.png,2.0,3.0
002_00004.png,2.0,3.0
002_00005.png,2.0,4.0
002_00006.png,2.0,4.0
002_00007.png,2.0,4.0
002_00008.png,2.0,4.0
002_00009.png,2.0,4.0
002_00010.png,2.0,4.0
002_00011.png,2.0,4.0
002_00012.png,2.0,4.0
002_00013.png,2.0,5.0
002_00014.png,2.0,5.0
002_00015.png,3.0,5.0
002_00016.png,3.0,5.0
002_00017.png,3.0,5.0
002_00018.png,3.0,5.0
002_00019.png,3.0,5.0
002_00020.png,3.0,5.0
002_00021.png,3.0,4.0
002_00022.png,4.0,4.0
002_00023.png,4.0,4.0
002_00024.png,4.0,4.0
002_00025.png,5.0,4.0
002_00026.png,5.0,4.0
002_00027.png,5.0,4.0
002_00028.png,5.0,4.0
002_00029.png,5.0,4.0
002_00030.png,6.0,4.0
002_00031.png,6.0,4.0
002_00032.png,5.0,4.0
